date,pred
2026-01-24,4818.5704302404265
2026-01-25,4834.738533688704
2026-01-26,4836.599668996406
2026-01-27,4818.901293294379
2026-01-28,4785.020769473383
2026-01-29,4742.540537550889
2026-01-30,4778.24149335652
2026-01-31,4913.1772041744125
2026-02-01,4790.249540090421
2026-02-02,4876.762993238065
2026-02-03,4837.060309292936
2026-02-04,4892.163936301432
2026-02-05,4889.404968762781
2026-02-06,4858.365039137311
2026-02-07,4890.902129386748
2026-02-08,4859.027807116681
2026-02-09,4832.621280056559
2026-02-10,4840.5273016339825
2026-02-11,4936.179187913189
2026-02-12,4864.7374930113265
2026-02-13,4983.720369731973
2026-02-14,4959.117565666929
2026-02-15,4951.375294597496
2026-02-16,4889.655340653495
2026-02-17,4947.737641754647
2026-02-18,4954.871149794892
2026-02-19,5056.4824719377275
2026-02-20,4932.394366923715
2026-02-21,5078.738283132169
2026-02-22,5034.920892010245
