date,ensemble_pred
2026-01-24,4900.259164449548
2026-01-25,4918.132012644593
2026-01-26,4912.879631578734
2026-01-27,4907.045944368565
2026-01-28,4902.993347225118
2026-01-29,4866.702888004372
2026-01-30,4858.919289490188
2026-01-31,4973.039081984589
2026-02-01,4886.989717125794
2026-02-02,4960.658606985396
2026-02-03,4939.421025098805
2026-02-04,5004.212655801627
2026-02-05,4995.727081649572
2026-02-06,4973.999130911743
2026-02-07,5003.3293909613485
2026-02-08,5000.682013809802
2026-02-09,4982.197444867716
2026-02-10,4987.731659971912
2026-02-11,5067.797453023607
2026-02-12,5030.897885732928
2026-02-13,5153.514463890506
2026-02-14,5123.18288190435
2026-02-15,5104.653819499496
2026-02-16,5087.668943535571
2026-02-17,5141.436026962627
2026-02-18,5152.983779465799
2026-02-19,5243.776499887659
2026-02-20,5130.695734580975
2026-02-21,5259.355567723768
2026-02-22,5235.237690813421
